"date","title","location","link"
2015-09-18 08:30:00,"236 - 206 - West Chester, OH Staples Professional Office Supply September 18th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office206/category/ALL"
2015-09-18 11:30:00,"236 - 207 - West Chester, OH Staples Professional Office Supply September 18th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office207/category/ALL"
2015-09-18 15:30:00,"236 - 184 - West Chester, OH Staples Professional Office Supply September 18th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office184/category/ALL"
2015-09-18 20:30:00,"236 - 208 - West Chester, OH Staples Professional Office Supply September 18th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office208/category/ALL"
2015-09-19 11:30:00,"236 - 214 - West Chester, OH Staples Professional Office Supply September 19th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office214/category/ALL"
2015-09-20 20:30:00,"236 - 213 - West Chester, OH Staples Professional Office Supply September 20th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office213/category/ALL"
2015-09-21 08:30:00,"236 - 212 - West Chester, OH Staples Professional Office Supply September 21st, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office212/category/ALL"
2015-09-21 11:30:00,"236 - 211 - West Chester, OH Staples Professional Office Supply September 21st, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office211/category/ALL"
2015-09-21 15:30:00,"236 - 215 - West Chester, OH Staples Professional Office Supply September 21st, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office215/category/ALL"
2015-09-21 20:30:00,"236 - 216 - West Chester, OH Staples Professional Office Supply September 21st, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office216/category/ALL"
2015-09-22 08:30:00,"236 - 217 - West Chester, OH Staples Professional Office Supply September 22nd, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office217/category/ALL"
2015-09-22 11:30:00,"236 - 222 - West Chester, OH Staples Professional Office Sale September 22nd, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office222/category/ALL"
2015-09-22 15:30:00,"236 - 220 - West Chester, OH Staples Professional Office Supply September 22nd, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office220/category/ALL"
2015-09-22 20:30:00,"236 - 218 - West Chester, OH Staples Professional Office Supply September 22nd, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office218/category/ALL"
2015-09-23 08:30:00,"236 - 223 - West Chester, OH Staples Professional Office Supply September 23rd, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office223/category/ALL"
2015-09-23 11:30:00,"236 - 225 - West Chester, OH Staples Professional Office Supply September 23rd, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office225/category/ALL"
2015-09-23 15:30:00,"236 - 221 - West Chester, OH Staples Professional Office Supply September 23rd, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office221/category/ALL"
2015-09-23 20:30:00,"236 - 224 - West Chester, OH Staples Professional Office Supply September 23rd, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office224/category/ALL"
